"sigma_field_name","GIM_field_name","notes"
"Image","process_path","Windows-Sysmon"
"EventID","event_code","Windows-Security"
"TargetObject","registry_path","Windows-Sysmon"
"TargetFilename","file_path","Windows-Sysmon"
"ParentImage","process_parent_path","Windows-Sysmon"
"SourceImage","process_path","Windows-Sysmon"
"Details","registry_value","Windows-Sysmon"
"ImageLoaded","file_path","Windows-Sysmon"
"TargetImage","process_target_path","Windows-Sysmon"
"Status","event_error_code","Windows-Security"
"ParentCommandLine","process_parent_command_line","Windows-Sysmon"
"CallTrace","call_trace","Windows-Sysmon"
"AccountName","user_name","Windows-Security"
"OriginalFileName","file_original_name","Windows-Sysmon"
"AuthenticationPackageName","windows_authentication_package_name","Windows-Security"
"Channel","event_log_name","All Windows-Security"
"CommandLine","process_command_line","Windows-Sysmon,Windows-Security"
"Description","file_description","Windows-Sysmon"
"DestinationIp","destination_ip","Windows-Sysmon"
"IpAddress","source_ip","Windows-Security"
"CurrentDirectory","process_working_directory","Windows-Sysmon"
"LogonProcessName","windows_authentication_process_name","Windows-Security"
"LogonType","windows_logon_type","Windows-Security"
"NewProcessName","process_path","Windows-Security"
"ObjectName","file_path","Windows-Security"
"ObjectType","object_type","Windows-Security"
"ParentProcessName","process_parent_path","Windows-Security"
"PipeName","pipe_name","Windows-Sysmon"
"ProcessName","process_path","Windows-Security,Windows-Sysmon"
"Product","file_product","Windows-Sysmon"
"IntegrityLevel","process_integrity_level","Windows-Sysmon"
"ServiceName","windows_kerberos_service_name","Windows-Security"
"User","user_name","Windows-Security,Windows-Sysmon"
"DestinationPort","destination_port","Windows-Sysmon"
"QueryName","query_request","Windows-Sysmon"
"SubjectUserName","user_name","Windows-Security - note - IAM events process this field differently."
"SubjectUserSid","user_id","Windows-Security"
"StartModule","start_module","Windows-Sysmon"
"SourcePort","source_port","Windows-Sysmon"
"Signature","file_signed_by","Windows-Sysmon"
"WorkstationName","source_name","Windows-Security"
"LogonId","user_session_id","Windows-Security"
"DeviceName","source_hostname","Windows-Security"
"Company","file_company","Windows-Sysmon"
"AccessList","vendor_event_action","Windows-Security"
"TicketEncryptionType","windows_kerberos_ticket_encryption","Windows-Security"
"TargetServerName","destination_hostname","Windows-Security"
"StartFunction","start_function","Windows-Sysmon"
"SourceIp","source_ip","Windows-Sysmon"
"Signed","file_is_signed","Windows-Sysmon"
"sha1","hash_sha1","Windows-Sysmon"
"Path","vendor_file_path","Windows-Defender"
"src_port","source_port","Windows-Security"
"dst_port","destination_port","Windows-Security"
"src_ip","source_ip","Firewall"
"dst_ip","destination_ip","Zeek"
"HostName","vendor_host_name","Windows-PowerShell"
"EngineVersion","vendor_engine_version","Windows-PowerShell"
"HostVersion","vendor_host_version","Windows-PowerShell"
"HostApplication","process_command_line","Windows-PowerShell"
"ProviderName","vendor_provider_name","Windows-PowerShell"
"Payload","vendor_payload","Windows-PowerShell"
"ContextInfo","vendor_context_info","Windows-PowerShell"
"ScriptBlockText","vendor_script_block_text","Windows-PowerShell"
"id_orig_h","source_ip","Zeek"
"id_resp_h","destination_ip","Zeek"
"id_resp_p","destination_port","Zeek"
"uid","event_uid","Zeek"
"certificate.subject","vendor_x509_cert_subject","Zeek"
"certificate.issuer","vendor_x509_cert_issuer","Zeek"
"san.dns","vendor_x509_san_dns","Zeek"
"query","query_request","Zeek"
"answers","query_response","Zeek"
"qtype_name","query_record_type","Zeek"
"rcode_name","query_result","Zeek"
"ts","event_created","Zeek"
"id_orig_p","source_port","Zeek"
"proto","network_transport","Zeek"
"qtype","query_record_type_code","Zeek"
"rcode","query_result_code","Zeek"
"trans_id","vendor_query_trans_id","Zeek"
"AA","vendor_query_AA","Zeek"
"status_code","http_response_code","Zeek"
"method","http_request_method","Zeek"
"uri","http_request_path","Zeek"
"request_body_len","http_request_bytes","Zeek"
"response_body_len","http_response_bytes","Zeek"
"user_agent","http_user_agent","Zeek"
